List,Surah,Ayah
jahannam,Ibrahim,29
jahannam,Ibrahim,49
jahannam,Al-Hijr,43
jahannam,An-Nahl,29
jahannam,Al-Isra,8
jahannam,Al-Isra,18
jahannam,Al-Isra,39
jahannam,Al-Isra,63
jahannam,Al-Isra,97
jahannam,Al-Kahf,100
jahannam,Al-Kahf,102
jahannam,Al-Kahf,106
jahannam,Maryam,68
jahannam,Maryam,86
jahannam,Ta-Ha,74
jahannam,Al-Anbiya,29
jahannam,Al-Anbiya,98
jahannam,Al-Hajj,19-22
jahannam,Al-Mu’minun,103
jahannam,Al-Mu’minun,104
jahannam,Al-Furqan,34
jahannam,Al-Furqan,65
jahannam,Al-Ankabut,54
jahannam,Al-Ankabut,68
jahannam,As-Sajdah,13
jahannam,Fatir,36
jahannam,Ya-Sin,63
jahannam,As-Saffat,62-68
jahannam,Sad,56
jahannam,Sad,85
jahannam,Sad,57-58
jahannam,Az-Zumar,32
jahannam,Az-Zumar,60
jahannam,Az-Zumar,71
jahannam,Az-Zumar,72
jahannam,Ghafir,49
jahannam,Ghafir,60
jahannam,Ghafir,76
jahannam,Az-Zukhruf,74
jahannam,Ad-Dukhan,43-46
jahannam,Al-Jathiyah,10
jahannam,Muhammad,15
jahannam,Al-Fath,6
jahannam,Qaf,24
jahannam,Qaf,30
jahannam,At-Tur,13
jahannam,Al-Qamar,48
jahannam,Al-Qamar,47-48
jahannam,Ar-Rahman,43
jahannam,Ar-Rahman,44
jahannam,Al-Waqi’ah,92-93
jahannam,Al-Mujadila,8
jahannam,At-Tahrim,9
jahannam,Al-Mulk,6
jahannam,Al-Ma’arij,15
jahannam,Al-Jinn,15
jahannam,Al-Jinn,23
jahannam,Al-Muddaththir,26
jahannam,Al-Muddaththir,27
jahannam,Al-Muddaththir,42
jahannam,An-Naba,21
jahannam,Al-Buruj,10
jahannam,Al-Ala,14-Oct
jahannam,Al-Ghashiyah,7-May
jahannam,Al-Fajr,23
jahannam,Al-Alaq,18
jahannam,Al-Bayyina,6
jannah,Al-Baqarah,25
jannah,Al-Baqarah,35
jannah,Al-Baqarah,82
jannah,Al-Baqarah,111
jannah,Al-Baqarah,214
jannah,Al-Baqarah,221
jannah,Al-Imran,15
jannah,Al-Imran,142
jannah,Al-Imran,185
jannah,An-Nisa,122
jannah,An-Nisa,124
jannah,Al-Ma'idah,37
jannah,Al-Ma'idah,72
jannah,Al-Anam,127
jannah,Al-A'raf,27
jannah,Al-A'raf,40
jannah,Al-A'raf,42
jannah,Al-A'raf,43
jannah,Al-A'raf,44
jannah,Al-A'raf,46
jannah,Al-A'raf,49
jannah,Al-A'raf,50
jannah,At-Taubah,72
jannah,At-Taubah,89
jannah,At-Taubah,111
jannah,Yunus,19
jannah,Yunus,26
jannah,Hud,23
jannah,Hud,108
jannah,Ar-Ra'd,23
jannah,Ar-Ra'd,24
jannah,Ar-Ra'd,35
jannah,Ar-Ra'd,23-24
jannah,Al-Hijr,47
jannah,An-Nahl,32
jannah,Al-Kahf,107
jannah,Al-Kahf,108
jannah,Maryam,60
jannah,Maryam,63
jannah,Ta-Ha,117
jannah,Ta-Ha,121
jannah,Al-Hajj,56
jannah,Al-Mu'minun,11
jannah,Al-Furqan,24
jannah,Al-Furqan,25
jannah,Ash-Shu'ara,90
jannah,Al-Ankabut,58
jannah,Al-Ahzab,64
jannah,Ya-Sin,26
jannah,Ya-Sin,55
jannah,Ya-Sin,56-58
jannah,Az-Zumar,73
jannah,Az-Zumar,74
jannah,Ghafir,40
jannah,Fussilat,30
jannah,Ash-Shura,7
jannah,Az-Zukhruf,70
jannah,Az-Zukhruf,72
jannah,Al-Ahqaf,14
jannah,Al-Ahqaf,16
jannah,Muhammad,6
jannah,Muhammad,15
jannah,Qaf,31
jannah,At-Tur,21
jannah,At-Tur,49
jannah,Ar-Rahman,62-68
jannah,Al-Waqi'ah,17-21
jannah,Al-Waqi'ah,25-26
jannah,Al-Hashr,20
jannah,At-Tahrim,11
jannah,An-Nazi'at,41
jannah,At-Takwir,13
jannah,Al-Ghashiyah,7-Jun
jannah,Al-Fajr,30
jesus-isa,Al-Baqarah,87
jesus-isa,Al-Baqarah,136
jesus-isa,Al-Baqarah,253
jesus-isa,Al-Imran,45
jesus-isa,Al-Imran,49
jesus-isa,Al-Imran,50
jesus-isa,Al-Imran,52
jesus-isa,Al-Imran,55
jesus-isa,Al-Imran,59
jesus-isa,Al-Imran,84
jesus-isa,Al-Imran,85
jesus-isa,Al-Imran,91
jesus-isa,Al-Imran,95
jesus-isa,An-Nisa,157
jesus-isa,An-Nisa,159
jesus-isa,An-Nisa,163
jesus-isa,An-Nisa,171
jesus-isa,An-Nisa,172
jesus-isa,Al-Ma'idah,17
jesus-isa,Al-Ma'idah,46
jesus-isa,Al-Ma'idah,72
jesus-isa,Al-Ma'idah,75
jesus-isa,Al-Ma'idah,78
jesus-isa,Al-Ma'idah,110
jesus-isa,Al-Ma'idah,112
jesus-isa,Al-Ma'idah,114
jesus-isa,Al-Ma'idah,116
jesus-isa,Al-Ma'idah,117
jesus-isa,Al-Anam,85
jesus-isa,At-Taubah,30
jesus-isa,At-Taubah,31
jesus-isa,At-Taubah,32
jesus-isa,At-Taubah,33
jesus-isa,At-Taubah,34
jesus-isa,Maryam,34
jesus-isa,Maryam,36
jesus-isa,Al-Anbiya,91
jesus-isa,Al-Mu'minun,50
jesus-isa,Al-Ahzab,7
jesus-isa,Al-Ahzab,8
jesus-isa,Ash-Shura,13
jesus-isa,Az-Zukhruf,57
jesus-isa,Az-Zukhruf,58
jesus-isa,Az-Zukhruf,59
jesus-isa,Az-Zukhruf,61
jesus-isa,Az-Zukhruf,63
jesus-isa,Az-Zukhruf,64
jesus-isa,Al-Hadid,27
jesus-isa,As-Saff,6
jesus-isa,As-Saff,14
zakat,Al-Baqarah,43
zakat,Al-Baqarah,83
zakat,Al-Baqarah,110
zakat,Al-Baqarah,177
zakat,Al-Baqarah,196
zakat,Al-Baqarah,215
zakat,Al-Baqarah,219
zakat,Al-Baqarah,254
zakat,Al-Baqarah,262
zakat,Al-Baqarah,263
zakat,Al-Baqarah,267
zakat,Al-Baqarah,270
zakat,Al-Baqarah,272
zakat,Al-Baqarah,273
zakat,Al-Baqarah,274
zakat,Al-Baqarah,277
zakat,Al-Baqarah,280
zakat,Al-Imran,92
zakat,Al-Imran,134
zakat,An-Nisa,38
zakat,An-Nisa,77
zakat,An-Nisa,160
zakat,An-Nisa,162
zakat,Al-Ma'idah,12
zakat,Al-Ma'idah,45
zakat,Al-Ma'idah,55
zakat,Al-Anam,114
zakat,Al-Anam,141
zakat,Al-A'raf,156
zakat,At-Taubah,5
zakat,At-Taubah,11
zakat,At-Taubah,18
zakat,At-Taubah,54
zakat,At-Taubah,60
zakat,At-Taubah,71
zakat,At-Taubah,103
zakat,Ibrahim,31
zakat,An-Nahl,75
zakat,An-Nahl,89-90
zakat,Al-Isra,26-29
zakat,Maryam,31
zakat,Maryam,55
zakat,Al-Anbiya,73
zakat,Al-Hajj,35
zakat,Al-Hajj,41
zakat,Al-Hajj,78
zakat,An-Nur,37
zakat,An-Nur,56
zakat,An-Naml,3
zakat,Ar-Rum,38
zakat,Ar-Rum,39
zakat,Luqman,4
zakat,Al-Ahzab,33
zakat,Fussilat,7
zakat,Al-Hadid,7
zakat,Al-Mujadila,13
zakat,At-Taghabun,16
zakat,Al-Muzzammil,20
zakat,Al-Bayyina,5
zakat,Al-Ma'un,7-Jan
zakat,Al-Kawthar,2-Jan
hypocrites,Al-Baqarah,204
hypocrites,Al-Imran,167
hypocrites,An-Nisa,61
hypocrites,An-Nisa,88
hypocrites,An-Nisa,138
hypocrites,An-Nisa,140
hypocrites,An-Nisa,142
hypocrites,An-Nisa,145
hypocrites,Al-Anfal,49
hypocrites,At-Taubah,64
hypocrites,At-Taubah,67
hypocrites,At-Taubah,68
hypocrites,At-Taubah,73
hypocrites,At-Taubah,77
hypocrites,At-Taubah,97
hypocrites,At-Taubah,101
hypocrites,Al-Ankabut,11
hypocrites,Al-Ahzab,1
hypocrites,Al-Ahzab,12
hypocrites,Al-Ahzab,24
hypocrites,Al-Ahzab,48
hypocrites,Al-Ahzab,60
hypocrites,Al-Ahzab,73
hypocrites,Al-Fath,6
hypocrites,Al-Hadid,13
hypocrites,Al-Hashr,11
hypocrites,Al-Munafiqun,1
hypocrites,Al-Munafiqun,7
hypocrites,Al-Munafiqun,8
hypocrites,At-Tahrim,9
rizq,Al-Baqarah,3
rizq,Al-Baqarah,22
rizq,Al-Baqarah,25
rizq,Al-Baqarah,57
rizq,Al-Baqarah,60
rizq,Al-Baqarah,126
rizq,Al-Baqarah,172
rizq,Al-Baqarah,212
rizq,Al-Baqarah,233
rizq,Al-Baqarah,254
rizq,Al-Imran,27
rizq,Al-Imran,37
rizq,Al-Imran,169
rizq,An-Nisa,5
rizq,An-Nisa,8
rizq,An-Nisa,39
rizq,Al-Ma’idah,88
rizq,Al-Ma’idah,114
rizq,Al-Anam,140
rizq,Al-Anam,142
rizq,Al-Anam,151
rizq,Al-A’raf,32
rizq,Al-A’raf,50
rizq,Al-A’raf,160
rizq,Al-Anfal,3
rizq,Al-Anfal,4
rizq,Al-Anfal,26
rizq,Al-Anfal,74
rizq,Yunus,31
rizq,Yunus,59
rizq,Yunus,93
rizq,Hud,6
rizq,Hud,88
rizq,Yusuf,37
rizq,Ar-Ra’d,22
rizq,Ar-Ra’d,26
rizq,Ibrahim,31
rizq,Ibrahim,32
rizq,Ibrahim,37
rizq,Al-Hijr,20
rizq,An-Nahl,56
rizq,An-Nahl,67
rizq,An-Nahl,71
rizq,An-Nahl,72
rizq,An-Nahl,73
rizq,An-Nahl,75
rizq,An-Nahl,112
rizq,An-Nahl,114
rizq,Al-Isra,30
rizq,Al-Isra,31
rizq,Al-Isra,70
rizq,Al-Kahf,19
rizq,Maryam,62
rizq,Ta-Ha,81
rizq,Ta-Ha,131
rizq,Ta-Ha,132
rizq,Al-Hajj,28
rizq,Al-Hajj,34
rizq,Al-Hajj,35
rizq,Al-Hajj,50
rizq,Al-Hajj,58
rizq,Al-Mu’minun,72
rizq,An-Nur,26
rizq,An-Nur,38
rizq,An-Naml,64
rizq,Al-Qasas,54
rizq,Al-Qasas,57
rizq,Al-Qasas,82
rizq,Al-Ankabut,17
rizq,Al-Ankabut,60
rizq,Al-Ankabut,62
rizq,Ar-Rum,28
rizq,Ar-Rum,37
rizq,Ar-Rum,40
rizq,As-Sajdah,16
rizq,Al-Ahzab,31
rizq,Saba,4
rizq,Saba,15
rizq,Saba,24
rizq,Saba,36
rizq,Saba,39
rizq,Fatir,3
rizq,Fatir,29
rizq,Ya-Sin,47
rizq,As-Saffat,41
rizq,Sad,54
rizq,Az-Zumar,52
rizq,Ghafir,13
rizq,Ghafir,40
rizq,Ghafir,64
rizq,Ash-Shura,12
rizq,Ash-Shura,19
rizq,Ash-Shura,27
rizq,Ash-Shura,38
rizq,Al-Jathiyah,5
rizq,Al-Jathiyah,16
rizq,Qaf,11
rizq,Adh-Dhariyat,22
rizq,Adh-Dhariyat,57
rizq,Adh-Dhariyat,58
rizq,Al-Waqi’ah,82
rizq,Al-Jumu’ah,11
rizq,Al-Munafiqun,10
rizq,At-Talaq,3
rizq,At-Talaq,7
rizq,At-Talaq,11
rizq,Al-Mulk,15
rizq,Al-Mulk,21
rizq,Al-Fajr,16
tawakkul,Al-Baqarah,45
tawakkul,Al-Imran,122
tawakkul,Al-Imran,129
tawakkul,Al-Imran,159
tawakkul,Al-Imran,160
tawakkul,An-Nisa,81
tawakkul,Al-Ma'idah,11
tawakkul,Al-Ma'idah,23
tawakkul,Al-Anam,89
tawakkul,Al-A'raf,89
tawakkul,Al-Anfal,2
tawakkul,Al-Anfal,49
tawakkul,Al-Anfal,61
tawakkul,At-Taubah,51
tawakkul,At-Taubah,129
tawakkul,Yunus,71
tawakkul,Yunus,84
tawakkul,Yunus,85
tawakkul,Hud,56
tawakkul,Hud,88
tawakkul,Hud,123
tawakkul,Yusuf,67
tawakkul,Ar-Ra'd,30
tawakkul,Ibrahim,11
tawakkul,Ibrahim,12
tawakkul,An-Nahl,42
tawakkul,An-Nahl,99
tawakkul,Al-Furqan,58
tawakkul,Ash-Shu'ara,217
tawakkul,An-Naml,79
tawakkul,Al-Ankabut,59
tawakkul,Al-Ahzab,3
tawakkul,Al-Ahzab,48
tawakkul,Ya-Sin,82
tawakkul,Az-Zumar,38
tawakkul,Ash-Shura,10
tawakkul,Ash-Shura,36
tawakkul,Al-Mujadila,10
tawakkul,Al-Mumtahanah,4
tawakkul,At-Taghabun,13
tawakkul,At-Talaq,3
tawakkul,Al-Mulk,29
tawakkul,Al-Muzzammil,9
